,카페이름,카페주소,위도,경도
0,Cafe Arancia,인천광역시 중구 우현로49번길 10-5 1층,37.4716422,126.6273599
1,디저트카페 아네모오네,인천광역시 중구 신포로35번길 10-1,37.4733945,126.6231442
2,관동오리진,인천광역시 중구 신포로27번길 96,37.4727937,126.6225932
3,카페맑음,인천광역시 중구 신포로 32-21,37.4709967,126.6242367
4,팟알,인천광역시 중구 신포로27번길 96-2,37.4727937,126.6225932
5,카페 보눔,인천광역시 중구 신포로35번길 64,37.4733945,126.6231442
6,더선셋카페,인천광역시 중구 자유공원서로 21 더선셋빌딩,37.4769354,126.6214376
7,카페아키라,인천광역시 중구 차이나타운로44번길 16-24,37.4759065,126.6180057
8,채널트웰브,인천광역시 중구 차이나타운로59번길 16 채널트웰브,37.4741327,126.6188194
9,코히별장,인천광역시 중구 신포로35번길 22-1 1층,37.4733945,126.6231442
10,머치스커피 신포국제시장점,인천광역시 중구 제물량로166번길 1-6 머치스커피,37.4708742,126.6249162
11,인천광역시여관X루비살롱,인천광역시 중구 신포로35번길 17 대원여관,37.4733945,126.6231442
12,서니구락부,인천광역시 중구 중앙동2가 23,37.47283375,126.62172163931905
13,카페 팔레트,인천광역시 중구 신포로39번길 23,37.4737536,126.6234524
14,카페관동,인천광역시 중구 신포로31번길 47 1층,37.472425,126.6241378
15,버텀라인,인천광역시 중구 신포로23번길 23,37.4725047,126.6223375
16,파크엘리,인천광역시 중구 송학로 24-5 2층,37.4742081,126.6257439
17,도든아트하우스,인천광역시 중구 신포로23번길 90,37.4725047,126.6223375
18,습관들,인천광역시 중구 신포로46번길 35,37.4723704,126.627203
19,프렌치빌,인천광역시 중구 신포로 27-1,37.4709967,126.6242367
20,인천광역시서점,인천광역시 중구 제물량로218번길 3 인천광역시아트플랫폼 H동 1층,37.4728949,126.6208694
21,카페테이블홍예,인천광역시 중구 홍예문로 26-1 1층,37.4761306,126.6273687
22,HERGARDEN,인천광역시 중구 신포로47번길 6,37.4735626,126.6251595
23,카페라코,인천광역시 중구 제물량로 137-1 1층,37.4715384,126.6214825
24,맹빠,인천광역시 중구 개항로53번길 11,37.4726455,126.6282667
25,카페까미노,인천광역시 중구 제물량로166번길 14-1 신포동 카미노,37.4708742,126.6249162
