구,세대,인구수,세대당인구,65세이상고령자,고령비율
종로구,73766,153684,1.96,28064,18.26084693266703
중구,63767,131450,1.92,24742,18.82236591860023
용산구,111207,236518,2.0,39461,16.684142433134053
성동구,134533,291609,2.12,46896,16.081808174644816
광진구,169483,353110,2.01,52604,14.897340771997394
동대문구,169695,352592,1.99,62963,17.857183373417435
중랑구,187693,393600,2.07,72851,18.508892276422763
성북구,197296,442680,2.2,75719,17.104680581910184
강북구,144725,300824,2.05,64961,21.594354173869107
도봉구,138836,318100,2.28,65122,20.472178560201197
노원구,219065,514445,2.33,89426,17.38300498595574
은평구,215178,476013,2.19,88418,18.574702791730477
서대문구,145044,317075,2.11,55012,17.349838366317115
마포구,180702,378629,2.04,55168,14.570463435183253
양천구,181765,449378,2.45,69953,15.566627649773688
강서구,272572,578426,2.1,93924,16.237859294015138
구로구,181916,419984,2.18,73864,17.58733666044421
금천구,118697,244901,1.95,41819,17.075879641161123
영등포구,188193,400241,2.0,63547,15.877183996642023
동작구,186419,394649,2.07,67470,17.09620447536925
관악구,279353,500336,1.74,80686,16.126363084007547
서초구,169895,413677,2.41,61404,14.843464828839892
강남구,234612,537338,2.27,79575,14.809114561039793
송파구,285106,668261,2.32,99854,14.9423653333054
강동구,201926,465097,2.28,75477,16.22822766003651
