구,세대,인구수,세대당인구,65세이상고령자,고령비율
종로구,74861,159842,2.0,28396,17.765042979942695
중구,63594,135321,1.98,24265,17.93143710141072
용산구,112451,244953,2.04,39995,16.32762203361461
성동구,136096,302695,2.17,45372,14.989345711029253
광진구,166857,361923,2.09,50047,13.828079453364388
동대문구,167232,358679,2.06,61408,17.12060087153137
중랑구,185109,400989,2.14,68658,17.122165445934925
성북구,195379,449871,2.25,73370,16.309119725432403
강북구,145790,313550,2.13,62951,20.076861744538352
도봉구,139029,329300,2.35,61388,18.641967810507136
노원구,218002,529532,2.41,84612,15.97863774049538
은평구,213039,485842,2.26,84353,17.362228872761104
서대문구,144494,323860,2.17,53869,16.633421848947076
마포구,178495,383494,2.09,54053,14.09487501760132
양천구,180309,460048,2.53,64804,14.086356206308906
강서구,266366,589536,2.19,88052,14.935813928241872
구로구,179792,435751,2.26,69312,15.906331827121454
금천구,113887,249641,2.04,39361,15.767041471553151
영등포구,182087,405982,2.06,60826,14.982437645018745
동작구,184193,404617,2.14,64674,15.984004626597498
관악구,275248,514555,1.81,78206,15.198763980526863
서초구,173483,429995,2.46,59495,13.83620739776044
강남구,234021,544085,2.3,73942,13.590155949897534
송파구,281417,676673,2.38,92149,13.61795135907595
강동구,194602,462275,2.35,68798,14.882483370288249
